,name,nationality
802,Franziska Albl,DE
803,Nele Alder-Baerens,DE
804,Nikki Adler,DE
805,Farid Alfa-Ruprecht,DE
806,Franziska van Almsick,DE
807,Alpha Female,DE
808,Tabea Alt,DE
809,Anja Althaus,DE
810,Fatmire Alushi,DE
811,Silvia Ambrosio,DE
812,Monique Angermüller,DE
813,Anneke Borbe,DE
814,Nadine Anstatt,DE
815,Lisa Antl,DE
816,Manuela Anwander,DE
817,Nicole Anyomi,DE
818,Nadine Apetz,DE
819,Caroline Arft,DE
820,Friederike Arlt,DE
821,Nathalie Armbruster,DE
822,Judith Arndt,DE
823,Julia Arnold (footballer),DE
824,Marie-Cathérine Arnold,DE
825,Sylvia Arnold,DE
826,Maral Artin,DE
827,Lena Asmus,DE
828,Mikaelle Assani,DE
829,Sandra Auffarth,DE
830,Natalie Augsburg,DE
831,Carina Aulenbrock,DE
832,Lindy Ave,DE
833,Ela Aydin,DE
834,Julia Babilon,DE
835,Tina Bachmann,DE
836,Isabell Bachor,DE
837,Anna Bader,DE
838,Kristina Bader,DE
839,Liane Bahler,DE
840,Regine Bakenecker,DE
841,Feride Bakır,DE
842,Mascha Ballhaus,DE
843,Jessica Balogun,DE
844,Nicole Banecki,DE
845,Carina Bär,DE
846,Claudia Bär,DE
847,Naemi Bär,DE
848,Romy Bär,DE
849,Jasmina Barhoumi,DE
850,Sabrina Barm,DE
851,Kristina Barrois,DE
852,Lea Sophie Barth,DE
853,Merle Barth,DE
854,Mona Barthel,DE
855,Zhenqi Barthel,DE
856,Anne Bartsch,DE
857,Saskia Bartusiak,DE
858,Paulina Bartz,DE
859,Patrizia Barucha,DE
860,Michaela Baschin,DE
861,Caroline-Ann Basu,DE
862,Anna Battke,DE
863,Dorothee Bauer,DE
864,Katharina Bauer,DE
865,Ricarda Bauernfeind,DE
866,Jackie Baumann,DE
867,Maren Baumbach,DE
868,Theresa Bauml,DE
869,Katharina Baunach,DE
870,Melanie Bauschke,DE
871,Nele Bayn,DE
872,Svenja Bazlen,DE
873,Alina Beck,DE
874,Annika Beck,DE
875,Leonie Beck,DE
876,Sharon Beck,DE
877,Annika Becker,DE
878,Charlotte Becker,DE
879,Maritta Becker,DE
880,Stefanie Becker,DE
881,Stephanie Beckert,DE
882,Eunice Beckmann,DE
883,Jana Beckmann,DE
884,Claudia Beer,DE
885,Jolyn Beer,DE
886,Maike Beer,DE
887,Janine Beermann,DE
888,Julia Behnke,DE
889,Jenny Behrend,DE
890,Melanie Behringer,DE
891,Christina Beier,DE
892,Christine Beier,DE
893,Vivien Beil,DE
894,Saskia Beinhard,DE
895,Katrin Beinroth,DE
896,Friederike Belcher,DE
897,Barbara Bellenberg,DE
898,Christina Bellinghoven,DE
899,Susan Benike,DE
900,Laura Benkarth,DE
901,Verena Bentele,DE
902,Nina Benz,DE
903,Jana Berezko-Marggrander,DE
904,Andrea Berg (volleyball),DE
905,Amelie Berger,DE
906,Ann-Katrin Berger,DE
907,Janine Berger,DE
908,Kristina Berger,DE
909,Monika Bergmann-Schmuderer,DE
910,Júlia Bergmann,DE
911,Vipa Bernhardt,DE
912,Anna Berreiter,DE
913,Franziska Bertels,DE
914,Emily Bessoir,DE
915,Susann Beucke,DE
916,Claudia Biene,DE
917,Daria Bijak,DE
918,Stefanie Biller,DE
919,Mira Bimperling,DE
920,Kim Birke,DE
921,Kimberly Birrell,DE
922,Monika Bittner,DE
923,Anja Blacha,DE
924,Claudia Blasberg,DE
925,Anna Blässe,DE
926,Anastasia Blayvas,DE
927,Julia Bleasdale,DE
928,Julia Bleck,DE
929,Simone Blum,DE
930,Annika Bochmann,DE
931,Aline Bock,DE
932,Linda Bock,DE
933,Lutricia Bock,DE
934,Nathalie Bock,DE
935,Emma Boermans,DE
936,Stefanie Böhler,DE
937,Alina Böhm,DE
938,Annett Böhm,DE
939,Anneke Böhmert,DE
940,Marlene Bojer,DE
941,Claudia Bokel,DE
942,Emily Bölk,DE
943,Jennifer Bongardt,DE
944,Yvonne Bönisch,DE
945,Anne van Bonn,DE
946,Stéphanie Borchers,DE
947,Karla Borger,DE
948,Rafaela Borggräfe,DE
949,Sarah Bormann,DE
950,Anna Bornhoff,DE
951,Anke Borowikow,DE
952,Samantha Borutta,DE
953,Carola Bott,DE
954,Gina Böttcher,DE
955,Tabea Botthof,DE
956,Atika Bouagaa,DE
957,Léa Bouard,DE
958,Chiara Bouziane,DE
959,Lea Boy,DE
960,Marie Brämer-Skowronek,DE
961,Jule Brand,DE
962,Viola Brand,DE
